"ShortSha","Date","Status","Crucial","Category","Author","Subject","FullSha"
"448df9ba0","2026-09-08","PENDING","YES","Combat & Spells","schell244","Roll daze before sending SMSG_ATTACKERSTATEUPDATE.","448df9ba06d2b2b1678fcfd782a77e1e3ebf26b9"
"9e884351f","2026-09-08","PENDING","NO","General Systems","schell244","Send rolled dodge, parry, block, pvp and killing blow flags in attack packets.","9e884351f45eaee5e8c4d08026bf14aae42bae00"
"3997d1698","2026-09-08","PENDING","YES","Combat & Spells","schell244","Pass CalcDamageInfo to RollMeleeOutcomeAgainst instead of returning outcome.","3997d1698c71aad6451166ee645e2fefd9efbc4f"
"ff7073f84","2026-09-08","PENDING","NO","General Systems","schell244","Name unknown HitInfo flags based on sniff data.","ff7073f8454e26bcd6ce3ea1e83aceda75c12fdc"
"24db7802e","2026-09-07","PENDING","YES","Combat & Spells","schell244","Fix Scourge Invasion world state, attack timer and event teardown.","24db7802e7a1e4a2ef974fde01a7c8a7e5bd84b1"
"ba8639e28","2026-09-07","PENDING","YES","AI & Movement","schell244","Fix Scourge Invasion zone invasions never being retried after a failed load.","ba8639e283741668ac07551e839664fedaa66338"
"5887d67fe","2026-09-07","PENDING","YES","Crashes & Security","schell244","Fix memory leak of hardcoded events in GameEventMgr.","5887d67fed0d05790d568e61228bf540df5bf5c8"
"ed2da0582","2026-09-07","PENDING","YES","Crashes & Security","schell244","Fix memory leaks of spell mods and aura scripts.","ed2da058243062f61b6a6b22c3ffab17191099f9"
"84f1bbccd","2026-09-06","PENDING","YES","Crashes & Security","Gamemechanic","Small changes to Formulas.h (#3556)","84f1bbccdbb1921a8ca49e5ab19e6c504ce2d721"
"13b49dc36","2026-09-06","PENDING","NO","General Systems","schell244","Implement blood spurt hitinfo and name debug fields.","13b49dc36f41a49221cf4f4b311809b4f649e8a8"
"92e1a69c6","2026-09-06","PENDING","YES","Encounters & World","schell244","Add more missing gameobjects.","92e1a69c6180ae6ca5ae9c8d882886d9fcc21c2d"
"c78268059","2026-09-05","PENDING","YES","General Systems","Gamemechanic","Fix buyback replacing items. (#3555)","c782680596f238447bec47dacd874752db1c6e13"
"7b601d1c4","2026-09-05","PENDING","YES","Encounters & World","Gamemechanic","Corrections to IsVendorItemValid, (#3554)","7b601d1c43d6cafc79aeb050a74af13329a95148"
"b7a6ef7ea","2026-09-05","PENDING","YES","General Systems","FlagFlayer","Correct gossip option texts for Felwood cleansed plants (#3553)","b7a6ef7eacdb82ab97d0b633507bfa839ffeca18"
"3dc139c5d","2026-09-04","PENDING","NO","General Systems","schell244","Add all missing server side trap templates.","3dc139c5d1ae7ba6b84d19d01818251a1396b62c"
"9d28d2848","2026-09-04","PENDING","YES","Combat & Spells","schell244","Add remaining missing gameobjects summoned by spells.","9d28d2848dc80702f10fc7898c3c4bedce04d1ba"
"e13afe5b5","2026-09-04","PENDING","YES","Encounters & World","schell244","Add gameobject template for Pillaclencher's Ornate Pillow.","e13afe5b5374a8868672d0cff27dd8b205bce6c5"
"219612703","2026-09-04","PENDING","NO","General Systems","schell244","Restore another firework.","2196127031a9c65ee0e0dd6a3b0fb5f9ab20014c"
"3edf3314b","2026-09-04","PENDING","NO","General Systems","schell244","Restore the test house.","3edf3314b5448e76da95ced5eff7e06d291c1f64"
"ef7b84552","2026-09-04","PENDING","YES","Crashes & Security","schell244","Change follow angle for escorts.","ef7b84552fe903f71f27408c4485802e43109d41"
"a11272f8b","2026-09-04","PENDING","YES","AI & Movement","schell244","Only adjust follower speed for pets.","a11272f8b5fd84973b121636eecda8a3cf9273a1"
"25fac6b48","2026-09-04","PENDING","YES","Encounters & World","schell244","New script for quest Mist.","25fac6b48291a8443c5deed15568baf1e12ed463"
"7ff0d5faf","2026-09-02","PENDING","YES","AI & Movement","schell244","Fix Pyroguard Emberseer event failure condition.","7ff0d5faf0088b9b40ae6247f654602972cb5088"
"8784e6761","2026-09-02","PENDING","YES","Encounters & World","schell244","Restore wrongfully deleted firework gameobject.","8784e676184c93ad6241dd2251b59c53aafd75ad"
"7d45f7a84","2026-09-02","PENDING","YES","Encounters & World","schell244","Fix Dragons of Nightmare script when not all dragons are created yet.","7d45f7a8466f025712e56378a98afab278a1e75d"
"77105678f","2026-09-02","PENDING","NO","General Systems","schell244","Avoid error message when opening some chests.","77105678f79fa80e648f5e80c4618ee27a17e697"
"d24661116","2026-09-02","PENDING","YES","General Systems","schell244","Fix mistakes in recent migrations.","d24661116c06f6d2592ea3698a1f3a9731b322b3"
"a94f8bbf8","2026-09-01","PENDING","YES","General Systems","schell244","Fix no pch build.","a94f8bbf87a9ad8e54f8da146fccd21f4f1d2c8c"
"c7c8d5a0f","2026-09-01","PENDING","YES","Combat & Spells","schell244"," Fix issues in new spell packet classes","c7c8d5a0f2d9f97e00823a631345b4885f776ed6"
"a35242b33","2026-09-01","PENDING","YES","AI & Movement","schell244","Cleanup unused scripts and assign EventAI to mobs that should use it.","a35242b3325974c1585105d8e3f9c5a4b37d1a49"
"bae0a8c3a","2026-09-01","PENDING","YES","Encounters & World","schell244","Add scripts for neutral banners in arathi basin too.","bae0a8c3a45f6b408274ce4c88d0b0f240b90805"
"dc3f14769","2026-09-01","PENDING","YES","General Systems","schell244","Fix Snowfall Banner.","dc3f14769ef81657ee6742479b2a4bebab3b62d0"
"0300035dd","2026-09-01","PENDING","NO","General Systems","schell244","Remove unused function.","0300035dd5ff7e2098598fd7df021e7bede4d15a"
"fec5b583c","2026-09-01","PENDING","YES","Combat & Spells","schell244","Add classes for more spell packets.","fec5b583c94047d32c1652ce2a31758ca5ae3418"
"ba0a24e89","2026-09-01","PENDING","NO","General Systems","NickTyrer","Add aggro text for Khan Hratha (#3549)","ba0a24e89407d03ea7244e1081eb36861d6b7f61"
"ab75ee665","2026-08-31","PENDING","NO","General Systems","NickTyrer","Add aggro text for Warbringer Construct (#3547)","ab75ee66545b72411cd234ba610321d578d287ba"
"810fef8f2","2026-08-29","PENDING","NO","General Systems","NickTyrer","Respawn Jadefire Run (#3515)","810fef8f23938427df89c7528d5276bbb8015008"
"8ecf23829","2026-08-29","PENDING","NO","General Systems","NickTyrer","Pool Badlands Mithril (credit cmangos) (#3540)","8ecf23829520dcfc8e9aed7d1df06598cbf57689"
"8428500c2","2026-08-29","PENDING","YES","General Systems","schell244","Fix typo in previous commit.","8428500c2a67cece1755839359289ba6855f0ab1"
"fb4127e73","2026-08-28","PENDING","YES","Combat & Spells","schell244","Add classes for spell start and go packets.","fb4127e73e1aa7970b97cadb79d97d95b00cf430"
"e3722f191","2026-08-27","PENDING","NO","General Systems","Daribon","Drop unused tables with no code references. (#3544)","e3722f19171c45d97e6741b4f2e43686c761b8b0"
"e5f3fd09e","2026-08-26","PENDING","YES","General Systems","schell244","Fix Uldaman altars.","e5f3fd09e4cf3df82805c748de7c4ae959d817f6"
"5b5f8abea","2026-08-24","PENDING","YES","Crashes & Security","schell244","Fix Tame Beast after recent change to channel spells.","5b5f8abea77dd72c9ae0215007c99691e9c4842b"
"8e8e421d8","2026-08-23","PENDING","NO","General Systems","schell244","Don't ignore graveyard orientation if it's zero.","8e8e421d80447b34081b15e972e63f35dd3b2c21"
"6958f2666","2026-08-22","PENDING","NO","General Systems","schell244","Add commands to load and unload npc spawns.","6958f2666be3feb7b5584f3a49cb36e5acf74172"
"406e8a502","2026-08-22","PENDING","YES","AI & Movement","schell244","Cleanup broken creature groups.","406e8a5025f6fb4a1b708f5669777a0adbe22ecc"
"049419602","2026-08-22","PENDING","YES","Combat & Spells","schell244","Add missing above and under water spell cast checks.","049419602b52c2a9ba6f86c604a885c2c25ccaee"
"053bf21e0","2026-08-22","PENDING","YES","Encounters & World","schell244","Fix looting items under threshold when using master loot.","053bf21e06480994787bd402c92a0511bcc631b8"
"5cccb8311","2026-08-22","PENDING","NO","General Systems","schell244","Restore old names for some mobs.","5cccb83119d88d218c9a1a5eabf86ff1d617dc0f"
"853e99ba7","2026-08-22","PENDING","YES","General Systems","schell244","Fix battleground spirit heal visual.","853e99ba71fd30924698b691b440006c238e7bff"
"b84c4a16c","2026-08-22","PENDING","YES","Combat & Spells","schell244","Correct creature static flags based on 1.7 wdb files.","b84c4a16ce771b5226527b68c084ca2bad1e02de"
"54e989805","2026-08-21","PENDING","NO","General Systems","NickTyrer","Add missing texts to Glutton (#3534)","54e9898051b04520095e3626c5f2426bf6195152"
"78a723207","2026-08-21","PENDING","YES","Core Architecture","schell244","Fix wrong scale when players are transformed.","78a723207631381cb73930413737cbd2743b7550"
"5a30f330f","2026-08-21","PENDING","YES","Encounters & World","moyashi","Prevent visual bug on older clients where mobs appear to teleport (#3533)","5a30f330fb1e86cff67eb70fe625e13e0c95119c"
"e5f2bc264","2026-08-20","PENDING","NO","General Systems","schell244","Make sure names stay consistent across versions.","e5f2bc2645bc971e3864cba5b601c1fc0eea8277"
"5c577a93e","2026-08-20","PENDING","YES","General Systems","schell244","Regenerate update fields to fix offset in comments.","5c577a93e2dc7c851af1a75dd606318bf7d7cd9b"
"6052f801f","2026-08-20","PENDING","YES","Encounters & World","schell244","New scripts for Myzrael and Prismatic Exiles.","6052f801f10ba860e6fb2e05983915e5a2242194"
"8dfb2d895","2026-08-20","PENDING","YES","Encounters & World","Daribon","Prevent master respawn on slave aggro. (#3535)","8dfb2d895004adb56c9237b5460c3f30b13af1ad"
"b3e3e091f","2026-08-19","PENDING","NO","General Systems","schell244","Add a few missing breaks.","b3e3e091fb9cd3c57a7307260bf868ddc7653502"
"19a77eb11","2026-08-19","PENDING","YES","General Systems","schell244","Fix BWL Suppression Devices.","19a77eb11b5f7ba87c5e7094d4c34f52bae09aee"
"913753b37","2026-08-19","PENDING","NO","General Systems","schell244","Remove empty space.","913753b379f4694d5179998a23fa86e03cfd8c7f"
"0e0317b72","2026-08-18","PENDING","YES","Combat & Spells","schell244","Correct creature static flags based on 1.8 wdb files.","0e0317b725a257889a89a058b965fea6b78eaa52"
"10b20b59b","2026-08-18","PENDING","YES","Encounters & World","schell244","No loot flag was added progressively in some cases.","10b20b59b3f5b03de55bc108c40c38fd4af1e267"
"dcc98337f","2026-08-17","PENDING","YES","General Systems","Daribon","Fix Scholomance Occultist HP not carrying over on Dark Shade transform. (#3531)","dcc98337f1f18403bb7f24b03e5ec092b8d794e1"
"de0d7bc1f","2026-08-16","PENDING","NO","General Systems","Daribon","Add missing Postbox Parcel in Crusaders' Square, Stratholme. (#3530)","de0d7bc1fe964bd91116642e8b4d7e21b6f8b080"
"03e04b287","2026-08-16","PENDING","YES","General Systems","Daribon","Correct Black Guard Swordsmith position. (#3529)","03e04b287f7f4621aef5670dc74b5410871be40c"
"45f7ae71c","2026-08-16","PENDING","YES","AI & Movement","Daribon","Add forgotten Call of Air NPCs in Thousand Needles. (#3528)","45f7ae71c3ece5f618ff0b95802283d0b7d1ddde"
"18e37d1fe","2026-08-14","PENDING","YES","AI & Movement","schell244","Store separate copy of creature groups per map.","18e37d1fe736a46ff916404d13e58302b5f05ef0"
"2f7bb2ef2","2026-08-14","PENDING","YES","Bounds & Exploits","schell244","Warden: Prevent reading out of bounds in some scans.","2f7bb2ef2ea4d129e738eed232c2e8fe97ae6e25"
"bf5c2271c","2026-08-14","PENDING","YES","General Systems","schell244","Warden: Fix max size of string hash check.","bf5c2271c97da357f0850b6147dd906982a1ba48"
"04af39351","2026-08-14","PENDING","YES","Encounters & World","schell244","Warden: Fix broken request and reply size check.","04af39351054c4a7bd89bd8488e9c4e3616ab5b9"
"68edebe90","2026-08-14","PENDING","YES","Encounters & World","schell244","Warden: Prevent duplicating scripted scans on reload.","68edebe906c0535fb89045a2e86c741bc0ed5506"
"040852ad9","2026-08-14","PENDING","YES","Encounters & World","schell244","Add missing setting descriptions to config file.","040852ad95b1d1ade4905c4c5bee70dd55a24cc0"
"4c0fa1944","2026-08-14","PENDING","NO","General Systems","schell244","Increase timeout timer for Missing In Action.","4c0fa1944bcbdc29a969447e1dc3e517ab7fd5c7"
"cd473e858","2026-08-13","PENDING","YES","AI & Movement","schell244","Don't log movement packets when anticheat is disabled.","cd473e858d271733476e76a0157c3d08ce85cb3a"
"aafe6f01a","2026-08-13","PENDING","YES","Core Architecture","schell244","Rename character db cleanup options and disable removal of group and guild rows.","aafe6f01a9f2ef9b2d04490fd20bf2c683d45e83"
"1246926c8","2026-08-13","PENDING","YES","Encounters & World","schell244","Add script for Raze during Shadoweaver quest.","1246926c8bf02a60d00c4c6ba36f798051c4ad08"
"9839bd2e2","2026-08-13","PENDING","YES","AI & Movement","schell244","Creatures should flee in a random direction.","9839bd2e2a672ef748ebd9cf282d500a7035ea86"
"b78b6c3ae","2026-08-13","PENDING","YES","Combat & Spells","schell244","Fix Phasing Stealth triggering in combat.","b78b6c3ae61954d23956a3aadc12fadbfb8225e8"
"d92328256","2026-08-11","PENDING","YES","Combat & Spells","schell244","Move injured friendly heals from EventAI to spell list.","d92328256f321bd840feb130d5d4905970d4d901"
"a72bb440e","2026-08-10","PENDING","YES","AI & Movement","schell244","Cleanup orphaned rows in character db on maintenance day.","a72bb440ebf2d26ee8afef89bcd380e76dbdd370"
"a10102850","2026-08-08","PENDING","YES","Crashes & Security","Silent-Walrus","Fix quest log corruption in SendQuestUpdateAddItem (#3526)","a10102850006195c1dda88f311195d67f520af76"
"e66174ef3","2026-08-07","PENDING","YES","Crashes & Security","Silent-Walrus","Fix memory leak in ReadableBuffer assignment operators. (#3525)","e66174ef3c519ceca59575a157555b6a63fe0188"
"e65e48e3c","2026-08-03","PENDING","YES","AI & Movement","NickTyrer","Fix Door Not Closing (#3512)","e65e48e3c506e745b74f4706389570d897dd6a9a"
"2d0928bd9","2026-08-03","PENDING","YES","AI & Movement","Daribon","Fix Obsidian Destroyer's Drain Mana. (#3518)","2d0928bd9cd86c795781f59d2bcd7f61a06cac9a"
"4fdf2f773","2026-08-03","PENDING","YES","General Systems","Daribon","Fix Moam mana at spawn. (#3517)","4fdf2f7736007981da652d4389007dd67da0cf0d"
"91c920d40","2026-07-31","PENDING","YES","Combat & Spells","Gamemechanic","Fix swapped arguments in Unit::ApplySpellImmune (#3516)","91c920d402ff1d4f99cb8292e5a9ed86715309f9"
"db7450c6e","2026-07-29","PENDING","YES","AI & Movement","schell244","Fix Nature's Grasp talent getting unlearned upon training rank 2.","db7450c6e4cc255cffa2620e5d0dd7d2f179d2d2"
"90793c7c6","2026-07-26","PENDING","YES","Combat & Spells","Richard Higgins","Remove stalked-target auras from the target when the caster dies (#3499)","90793c7c6c4b6104ab56097192a1f6b1c79250bf"
"2a56e5ebb","2026-07-26","PENDING","YES","Combat & Spells","schell244","Correct position and movement of two critters.","2a56e5ebbad6854d636ab02ed7aba052f85895ec"
"4cb4f86ac","2026-07-26","PENDING","YES","Crashes & Security","schell244","Some more changes to Stitches script.","4cb4f86ac5e1e93ebcd5f3306ca8fef6535118b3"
"804cf5ae3","2026-07-26","PENDING","YES","AI & Movement","schell244","Reset position of Watcher Dodds and Paige after stiches dies.","804cf5ae36e5966ecd18f1a5fc209e036e0b947f"
"5485f93d3","2026-07-26","PENDING","YES","Core Architecture","Gamemechanic","Small refactors in Unit.cpp (#3510)","5485f93d30313a87cd8ccc59f9264e1d79935346"
"1b3513846","2026-07-25","PENDING","YES","Combat & Spells","schell244","Correct creature static flags based on 1.9 wdb files.","1b3513846a4dd33260e7709cacba70ec54c60b7a"
"f328a2cb2","2026-07-24","PENDING","YES","Combat & Spells","schell244","Correct creature static flags based on 1.10 wdb files.","f328a2cb2e2551759d8dd697056168c2c93f6645"
"ebf2ae06f","2026-07-24","PENDING","YES","Crashes & Security","schell244","Fix spell reflection crashes before 1.6.","ebf2ae06fdf70a1a774b0338aba9ecc5b55b3802"
"dbe65d3ec","2026-07-24","PENDING","YES","Combat & Spells","schell244","Fix spell miss info for 1.5 client.","dbe65d3ec1597bd218268d9fc97cb9e290dc3363"
"b2a5d1272","2026-07-24","PENDING","NO","General Systems","schell244","Add unknown hitinfo flags to enum.","b2a5d1272eed48c2064a42e720ce8c1d499ee338"
"3e75e00fe","2026-07-23","PENDING","YES","Combat & Spells","Nishad","Send melee attack state before doing the damage (#3505)","3e75e00fe5aa8683ee7b3067a1e6bf257b248b3e"
"11837a71c","2026-07-23","PENDING","YES","Combat & Spells","Spit","Clear emote state from creatures on entering combat. (#3507)","11837a71cc221d37cab28e1d4de3d4080cb662eb"
"ca760e76f","2026-07-21","PENDING","YES","Combat & Spells","schell244","Send SMSG_ATTACKERSTATEUPDATE when casting on next melee spells.","ca760e76f0bba21f63d05a4adf36e95eba0f26b3"
"b7cd0e128","2026-07-21","PENDING","NO","General Systems","NickTyrer","Pool Some Fadeleaf, Gromsblood and Grave Moss (#3494)","b7cd0e128c67d442d4d4384d832ffee62b5bc1a2"
"d6ed90d82","2026-07-21","PENDING","YES","AI & Movement","schell244","Pet family was assigned to Son of Hakkar and Soulflayer in 1.8.","d6ed90d82cc70cf933ef186af78e4ee1cb847eaf"
"49960c45e","2026-07-21","PENDING","YES","Crashes & Security","schell244","More changes to ogre models.","49960c45e5d52fcd80732f5924dceaece040fcc2"
"b3853872d","2026-07-21","PENDING","NO","General Systems","schell244","Add missing Succubus minion to Morganth.","b3853872db9dc8de8c1050f5370e3df7139538bc"
"6961c0f2a","2026-07-21","PENDING","YES","AI & Movement","schell244","Correct creature data based on 1.2 wdb files.","6961c0f2abaa9671632ed0991f0fc01ac2cc99e4"
"80d3b7bee","2026-07-20","PENDING","YES","Encounters & World","Simp-N","Prevent pickpocketing humanoids and undead with no pickpocket loot (#2729)","80d3b7beeb0e3cba02d02ec9f09f806a247d12d3"
"8f6018a01","2026-07-20","PENDING","YES","AI & Movement","Richard Higgins","Share vendor item visibility between list and purchase paths (#3502)","8f6018a01dbe1b7e972955bd72e88acf00b02c16"
"9e006e0ce","2026-07-20","PENDING","YES","AI & Movement","Richard Higgins","Delay Mograine's death so Forgiveness visual displays properly (#3503)","9e006e0ce668934d9740b99da3823f02ec16524f"
"6f9d86f66","2026-07-19","PENDING","YES","Bounds & Exploits","Richard Higgins","Clamp auction time left to the client's signed 32-bit millisecond range (#3497)","6f9d86f6660b7f79dc9d2780df237b350f48c99c"
"af30a92a9","2026-07-19","PENDING","YES","Bounds & Exploits","Richard Higgins","Validate the master looter GUID in CMSG_LOOT_METHOD (#3500)","af30a92a9c218f0d50917e5eac5d00d6cebad442"
"8bfe3c483","2026-07-19","PENDING","YES","Bounds & Exploits","Richard Higgins","Accept the stock 1,000,000 random roll upper bound (#3498)","8bfe3c4835335e15e44d770eaa3826473671adc6"
"12c737967","2026-07-19","PENDING","YES","Crashes & Security","Richard Higgins","Allow multiple Nefarius's Corruption accepters per scepter run (#3504)","12c73796774a1e2d4f366fbcc950b0a95e134151"
"d0aff0ced","2026-07-19","PENDING","NO","General Systems","Stoabrogga","Add CI build for USE_PCH=OFF (#3492)","d0aff0cedc18d140b72cac95ba0284218cd4175c"
"1468bbe02","2026-07-19","PENDING","YES","Encounters & World","Gamemechanic","Fix output for loading instance custom encounters. (#3496)","1468bbe0209f444a307c22d4700866c105183df6"
"30c87a37f","2026-07-19","PENDING","NO","General Systems","Gamemechanic","Remove cmake references to no longer existing files. (#3495)","30c87a37f62229818870762f5f5929efb632ac69"
"d9c0a30b8","2026-07-19","PENDING","NO","General Systems","schell244","Most humanoids could not swim before patch 1.3.","d9c0a30b862ff7848d5691acf8b9b26970ef975e"
"5f356a98f","2026-07-18","PENDING","YES","Crashes & Security","schell244","Type of forsaken npcs changed from undead to humanoid in 1.5.","5f356a98ffa8a6fb9ae8467d215b29db33492a43"
"8aaee43c6","2026-07-18","PENDING","YES","AI & Movement","schell244","Correct creature data based on 1.7 wdb files.","8aaee43c6cab32d82523370c22a91142c660f9fb"
"46d789256","2026-07-17","PENDING","YES","Combat & Spells","Gamemechanic","GetHeightStatic: Add a delta to Z before choosing vmap height over map height (#3487)","46d78925688bb68ddd2ce9ed64d971a703d5598c"
"d2a9e2c6d","2026-07-17","PENDING","YES","AI & Movement","Daribon","Fix stabling for dismissed and dead pets. (#3488)","d2a9e2c6d0c0171c94ca2d8197b55f72dd13b2e3"
"e3fff0aef","2026-07-17","PENDING","YES","Core Architecture","Wall","Remove offline players from BG queue (#3489)","e3fff0aefbf4746943304f5e8d1681f2caf9dd93"
"063f8f14c","2026-07-17","PENDING","NO","General Systems","schell244","Add waypoints for Scarlet Inquisitor.","063f8f14c1fa41c0ce072145a7400b54cc46eb33"
"64d9e28b3","2026-07-17","PENDING","YES","AI & Movement","schell244","Correct creature data based on 1.8 wdb files.","64d9e28b3675816333a7cf13afbc199e779674e9"
"ca2123212","2026-07-17","PENDING","YES","AI & Movement","schell244","Correct creature data based on 1.9 wdb files.","ca212321241f081c8b0ed2335e96d3ed7de24018"
"51fde6f6f","2026-07-14","PENDING","YES","AI & Movement","schell244","Correct creature data based on 1.10 wdb files.","51fde6f6f07677ffaaca976440973b3521910d7a"
"75d9aaebf","2026-07-14","PENDING","YES","AI & Movement","schell244","Correct creature data based on 1.11 wdb files.","75d9aaebfbdbcbdf7ab97679b0644e8cc6f91aca"
"b57309a3d","2026-07-13","PENDING","YES","General Systems","schell244","Fix target of target missing after create update","b57309a3df48050f85334429d5c16768a8157ebe"
"a6755e42a","2026-07-13","PENDING","YES","AI & Movement","schell244","Fix lost wakeup race in WorldSocket send queue","a6755e42acb88608294eb044b59249049b000039"
"2c87fa14a","2026-07-12","PENDING","NO","General Systems","NickTyrer","Pool Some Fadeleaf and Grave Moss (#3486)","2c87fa14a8a13e740d1ec8c81e3d528fcabc43e2"
"c46aa93f9","2026-07-11","PENDING","NO","General Systems","Stoabrogga","Add missing include (#3483)","c46aa93f970cbaed2bff63004882437491fc9660"
"ce5a1a267","2026-07-11","PENDING","YES","Combat & Spells","schell244","Add missing rates for crit and dodge.","ce5a1a2678907ced2ad2bc664c2295b8039fe047"
"d8a163621","2026-07-11","PENDING","YES","General Systems","schell244","Fix dodge per agility rates.","d8a16362104d992436a4dbeca9734631c04e6f01"
"b54bbd030","2026-07-11","PENDING","YES","Combat & Spells","schell244","Add packet class for melee attacking state update.","b54bbd03073239abff71f3e4fbd18c61acfb1024"
"9e797df89","2026-07-11","PENDING","YES","Combat & Spells","schell244","Fix melee damage packet before 1.6.","9e797df894145908018a6941112d28cf7b08cb62"
"f13dfcb5f","2026-07-10","PENDING","YES","Core Architecture","Stoabrogga","Add new option for map extractor (#3480)","f13dfcb5f694d594f84f24fdc1a5674d500e2f65"
"1cf3d4622","2026-07-10","PENDING","YES","AI & Movement","Spit","Fix trainer type for trainers that only have recipes (#3481)","1cf3d462217bd4322c9784376ca08c76bfd8ae71"
"f67d54409","2026-07-08","PENDING","YES","Core Architecture","Michael Serajnik","Fix mmap generator aborting with the default configuration. (#3479)","f67d5440903a668c63c8a4959d7bb8df4511c3dc"
"66b158405","2026-07-08","PENDING","YES","General Systems","schell244","Fix opening gurubashi chest before 1.7.","66b158405593852880469c69084e63b58616f51d"
"b974755c0","2026-07-08","PENDING","YES","Encounters & World","Spit","Fix empty loot after group loot roll ends (#3476)","b974755c0f92ab59c1fa6803db534834797d1504"
"16251fe28","2026-07-08","PENDING","YES","AI & Movement","schell244","Improve map extraction tools and fix navmesh generation bugs (#3473)","16251fe28bacb42711d95d9b96f0edceb66cbe83"
"467fc53f6","2026-07-04","PENDING","YES","General Systems","schell244","Fix Mana Shield before patch 1.12.","467fc53f6d8e48a0380b8a2734e66cc7f71e9dd8"
"2c8df6bb4","2026-07-04","PENDING","YES","Combat & Spells","schell244","Fix crit per agility rates.","2c8df6bb446844c929863d4b40d08a0ff69d2275"
"bae871a66","2026-07-03","PENDING","YES","AI & Movement","schell244","Individual raid instance reset timers before patch 1.9","bae871a66e3b450ebccb28f772a71e5c37084e80"
"37ba9a343","2026-04-17","PENDING","YES","Encounters & World","schell244","Fix DungeonReset false-positive ERRORs at startup","37ba9a34315d9ffb79ee0e985d46b1d01149a83c"
"9597c399b","2026-06-25","PENDING","YES","AI & Movement","schell244","Remove orphaned closed-door collision check helpers","9597c399bc6f2bb1f47de01a085301a15b43973d"
"5d92ec02a","2026-07-03","PENDING","YES","AI & Movement","Gamemechanic","Improve dynamic tree for movement (#3463)","5d92ec02a1a540c439d2c4afe22c85a20095948c"
"a8d4ea1f5","2026-07-03","PENDING","NO","General Systems","NickTyrer","Respawn Some Small Areas (credit cmangos) (#3466)","a8d4ea1f54268af7e7f3e56e82c8524d60e76ed5"
"b40576ba5","2026-06-30","PENDING","NO","General Systems","schell244","Breath of Fire should have a chance to trigger.","b40576ba503081f104cb7ba7aba91627793fd851"
"ee963a63a","2026-06-29","PENDING","YES","General Systems","NickTyrer","Fix DB Errors (#3470)","ee963a63a18562aaf77e8b740927d1447b273b35"
"8be68dadc","2026-06-29","PENDING","NO","General Systems","schell244","Remove duplicate Gordok Tribute chests.","8be68dadce315b9297d2d762845494fbde559421"
"b0c82f425","2026-06-29","PENDING","YES","Encounters & World","schell244","Delete many unused gameobjects.","b0c82f425668c39855a29c3a6fbcf5721d643a0f"
"b3b6cbaa1","2026-06-29","PENDING","YES","General Systems","schell244","Revert ""Implement Volume Caching (#3447)""","b3b6cbaa166d81400384e3cf3f1fd760b0fc03ba"
"cd6004c73","2026-06-29","PENDING","YES","General Systems","schell244","Revert ""Add missing header files (#3452)""","cd6004c73c738fb2ef0de3eda36fa4314704e332"
