"Tier","Subsystem","ShortSha","Date","Author","Subject","FullSha"
"2","Combat & Spells","448df9ba0","2026-09-08","schell244","Roll daze before sending SMSG_ATTACKERSTATEUPDATE.","448df9ba06d2b2b1678fcfd782a77e1e3ebf26b9"
"2","Combat & Spells","3997d1698","2026-09-08","schell244","Pass CalcDamageInfo to RollMeleeOutcomeAgainst instead of returning outcome.","3997d1698c71aad6451166ee645e2fefd9efbc4f"
"2","Combat & Spells","24db7802e","2026-09-07","schell244","Fix Scourge Invasion world state, attack timer and event teardown.","24db7802e7a1e4a2ef974fde01a7c8a7e5bd84b1"
"4","AI & Movement","ba8639e28","2026-09-07","schell244","Fix Scourge Invasion zone invasions never being retried after a failed load.","ba8639e283741668ac07551e839664fedaa66338"
"1","Crashes & Security","5887d67fe","2026-09-07","schell244","Fix memory leak of hardcoded events in GameEventMgr.","5887d67fed0d05790d568e61228bf540df5bf5c8"
"1","Crashes & Security","ed2da0582","2026-09-07","schell244","Fix memory leaks of spell mods and aura scripts.","ed2da058243062f61b6a6b22c3ffab17191099f9"
"1","Crashes & Security","84f1bbccd","2026-09-06","Gamemechanic","Small changes to Formulas.h (#3556)","84f1bbccdbb1921a8ca49e5ab19e6c504ce2d721"
"5","Encounters & World","92e1a69c6","2026-09-06","schell244","Add more missing gameobjects.","92e1a69c6180ae6ca5ae9c8d882886d9fcc21c2d"
"5","General Systems","c78268059","2026-09-05","Gamemechanic","Fix buyback replacing items. (#3555)","c782680596f238447bec47dacd874752db1c6e13"
"5","Encounters & World","7b601d1c4","2026-09-05","Gamemechanic","Corrections to IsVendorItemValid, (#3554)","7b601d1c43d6cafc79aeb050a74af13329a95148"
"5","General Systems","b7a6ef7ea","2026-09-05","FlagFlayer","Correct gossip option texts for Felwood cleansed plants (#3553)","b7a6ef7eacdb82ab97d0b633507bfa839ffeca18"
"2","Combat & Spells","9d28d2848","2026-09-04","schell244","Add remaining missing gameobjects summoned by spells.","9d28d2848dc80702f10fc7898c3c4bedce04d1ba"
"5","Encounters & World","e13afe5b5","2026-09-04","schell244","Add gameobject template for Pillaclencher's Ornate Pillow.","e13afe5b5374a8868672d0cff27dd8b205bce6c5"
"1","Crashes & Security","ef7b84552","2026-09-04","schell244","Change follow angle for escorts.","ef7b84552fe903f71f27408c4485802e43109d41"
"4","AI & Movement","a11272f8b","2026-09-04","schell244","Only adjust follower speed for pets.","a11272f8b5fd84973b121636eecda8a3cf9273a1"
"5","Encounters & World","25fac6b48","2026-09-04","schell244","New script for quest Mist.","25fac6b48291a8443c5deed15568baf1e12ed463"
"4","AI & Movement","7ff0d5faf","2026-09-02","schell244","Fix Pyroguard Emberseer event failure condition.","7ff0d5faf0088b9b40ae6247f654602972cb5088"
"5","Encounters & World","8784e6761","2026-09-02","schell244","Restore wrongfully deleted firework gameobject.","8784e676184c93ad6241dd2251b59c53aafd75ad"
"5","Encounters & World","7d45f7a84","2026-09-02","schell244","Fix Dragons of Nightmare script when not all dragons are created yet.","7d45f7a8466f025712e56378a98afab278a1e75d"
"5","General Systems","d24661116","2026-09-02","schell244","Fix mistakes in recent migrations.","d24661116c06f6d2592ea3698a1f3a9731b322b3"
"5","General Systems","a94f8bbf8","2026-09-01","schell244","Fix no pch build.","a94f8bbf87a9ad8e54f8da146fccd21f4f1d2c8c"
"2","Combat & Spells","c7c8d5a0f","2026-09-01","schell244"," Fix issues in new spell packet classes","c7c8d5a0f2d9f97e00823a631345b4885f776ed6"
"4","AI & Movement","a35242b33","2026-09-01","schell244","Cleanup unused scripts and assign EventAI to mobs that should use it.","a35242b3325974c1585105d8e3f9c5a4b37d1a49"
"5","Encounters & World","bae0a8c3a","2026-09-01","schell244","Add scripts for neutral banners in arathi basin too.","bae0a8c3a45f6b408274ce4c88d0b0f240b90805"
"5","General Systems","dc3f14769","2026-09-01","schell244","Fix Snowfall Banner.","dc3f14769ef81657ee6742479b2a4bebab3b62d0"
"2","Combat & Spells","fec5b583c","2026-09-01","schell244","Add classes for more spell packets.","fec5b583c94047d32c1652ce2a31758ca5ae3418"
"5","General Systems","8428500c2","2026-08-29","schell244","Fix typo in previous commit.","8428500c2a67cece1755839359289ba6855f0ab1"
"2","Combat & Spells","fb4127e73","2026-08-28","schell244","Add classes for spell start and go packets.","fb4127e73e1aa7970b97cadb79d97d95b00cf430"
"5","General Systems","e5f3fd09e","2026-08-26","schell244","Fix Uldaman altars.","e5f3fd09e4cf3df82805c748de7c4ae959d817f6"
"1","Crashes & Security","5b5f8abea","2026-08-24","schell244","Fix Tame Beast after recent change to channel spells.","5b5f8abea77dd72c9ae0215007c99691e9c4842b"
"4","AI & Movement","406e8a502","2026-08-22","schell244","Cleanup broken creature groups.","406e8a5025f6fb4a1b708f5669777a0adbe22ecc"
"2","Combat & Spells","049419602","2026-08-22","schell244","Add missing above and under water spell cast checks.","049419602b52c2a9ba6f86c604a885c2c25ccaee"
"5","Encounters & World","053bf21e0","2026-08-22","schell244","Fix looting items under threshold when using master loot.","053bf21e06480994787bd402c92a0511bcc631b8"
"5","General Systems","853e99ba7","2026-08-22","schell244","Fix battleground spirit heal visual.","853e99ba71fd30924698b691b440006c238e7bff"
"2","Combat & Spells","b84c4a16c","2026-08-22","schell244","Correct creature static flags based on 1.7 wdb files.","b84c4a16ce771b5226527b68c084ca2bad1e02de"
"5","Core Architecture","78a723207","2026-08-21","schell244","Fix wrong scale when players are transformed.","78a723207631381cb73930413737cbd2743b7550"
"5","Encounters & World","5a30f330f","2026-08-21","moyashi","Prevent visual bug on older clients where mobs appear to teleport (#3533)","5a30f330fb1e86cff67eb70fe625e13e0c95119c"
"5","General Systems","5c577a93e","2026-08-20","schell244","Regenerate update fields to fix offset in comments.","5c577a93e2dc7c851af1a75dd606318bf7d7cd9b"
"5","Encounters & World","6052f801f","2026-08-20","schell244","New scripts for Myzrael and Prismatic Exiles.","6052f801f10ba860e6fb2e05983915e5a2242194"
"5","Encounters & World","8dfb2d895","2026-08-20","Daribon","Prevent master respawn on slave aggro. (#3535)","8dfb2d895004adb56c9237b5460c3f30b13af1ad"
"5","General Systems","19a77eb11","2026-08-19","schell244","Fix BWL Suppression Devices.","19a77eb11b5f7ba87c5e7094d4c34f52bae09aee"
"5","Encounters & World","10b20b59b","2026-08-18","schell244","No loot flag was added progressively in some cases.","10b20b59b3f5b03de55bc108c40c38fd4af1e267"
"5","General Systems","dcc98337f","2026-08-17","Daribon","Fix Scholomance Occultist HP not carrying over on Dark Shade transform. (#3531)","dcc98337f1f18403bb7f24b03e5ec092b8d794e1"
"5","General Systems","03e04b287","2026-08-16","Daribon","Correct Black Guard Swordsmith position. (#3529)","03e04b287f7f4621aef5670dc74b5410871be40c"
"4","AI & Movement","45f7ae71c","2026-08-16","Daribon","Add forgotten Call of Air NPCs in Thousand Needles. (#3528)","45f7ae71c3ece5f618ff0b95802283d0b7d1ddde"
"4","AI & Movement","18e37d1fe","2026-08-14","schell244","Store separate copy of creature groups per map.","18e37d1fe736a46ff916404d13e58302b5f05ef0"
"3","Bounds & Exploits","2f7bb2ef2","2026-08-14","schell244","Warden: Prevent reading out of bounds in some scans.","2f7bb2ef2ea4d129e738eed232c2e8fe97ae6e25"
"5","General Systems","bf5c2271c","2026-08-14","schell244","Warden: Fix max size of string hash check.","bf5c2271c97da357f0850b6147dd906982a1ba48"
"5","Encounters & World","04af39351","2026-08-14","schell244","Warden: Fix broken request and reply size check.","04af39351054c4a7bd89bd8488e9c4e3616ab5b9"
"5","Encounters & World","68edebe90","2026-08-14","schell244","Warden: Prevent duplicating scripted scans on reload.","68edebe906c0535fb89045a2e86c741bc0ed5506"
"5","Encounters & World","040852ad9","2026-08-14","schell244","Add missing setting descriptions to config file.","040852ad95b1d1ade4905c4c5bee70dd55a24cc0"
"4","AI & Movement","cd473e858","2026-08-13","schell244","Don't log movement packets when anticheat is disabled.","cd473e858d271733476e76a0157c3d08ce85cb3a"
"5","Core Architecture","aafe6f01a","2026-08-13","schell244","Rename character db cleanup options and disable removal of group and guild rows.","aafe6f01a9f2ef9b2d04490fd20bf2c683d45e83"
"5","Encounters & World","1246926c8","2026-08-13","schell244","Add script for Raze during Shadoweaver quest.","1246926c8bf02a60d00c4c6ba36f798051c4ad08"
"4","AI & Movement","9839bd2e2","2026-08-13","schell244","Creatures should flee in a random direction.","9839bd2e2a672ef748ebd9cf282d500a7035ea86"
"2","Combat & Spells","b78b6c3ae","2026-08-13","schell244","Fix Phasing Stealth triggering in combat.","b78b6c3ae61954d23956a3aadc12fadbfb8225e8"
"2","Combat & Spells","d92328256","2026-08-11","schell244","Move injured friendly heals from EventAI to spell list.","d92328256f321bd840feb130d5d4905970d4d901"
"4","AI & Movement","a72bb440e","2026-08-10","schell244","Cleanup orphaned rows in character db on maintenance day.","a72bb440ebf2d26ee8afef89bcd380e76dbdd370"
"1","Crashes & Security","a10102850","2026-08-08","Silent-Walrus","Fix quest log corruption in SendQuestUpdateAddItem (#3526)","a10102850006195c1dda88f311195d67f520af76"
"1","Crashes & Security","e66174ef3","2026-08-07","Silent-Walrus","Fix memory leak in ReadableBuffer assignment operators. (#3525)","e66174ef3c519ceca59575a157555b6a63fe0188"
